source_store,source_product_id,source_name,source_brand,source_gtin,source_price_per_unit,source_unit,source_quantity,target_store,target_product_id,target_name,target_brand,target_gtin,target_price_per_unit,target_unit,target_quantity,candidate_bucket,lexical_score,token_score,trigram_score,same_global_gtin,unit_compatible,blocking_attributes,automated_suggestion,automated_reason,human_label,review_reason,reviewer,reviewed_at,match_version
alcampo,8362f7d4-a084-42cd-8112-8302603e37f2,LEGADO IBÉRICO Charcutería selecta Mortadela ibérica cortada en lonchas - Loncha normal 2 a 3 mm,LEGADO IBÉRICO,8410843058168,10.2,kg,127.5 g,consum,7082332,Mortadela Ibérica,LEGADO,8410843058168,9.89,kg,,exact_gtin,0.374928,0.333333,0.452174,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:53.388Z,baseline_candidates_v1
carrefour,VC4AECOMM-710297,Foie gras de pato Martiko pack de 2 unidades de 40 g,,8412540003878,82.37,kg,40 g,consum,269035,Bloc Hígado de Pato,MARTIKO,8412540003878,79.88,kg,80 gr,exact_gtin,0.282500,0.250000,0.342857,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:35:57.616Z,baseline_candidates_v1
carrefour,521003363,Cereales frosties Kellogg's 400 g.,,5059319023199,11.37,kg,400 g,consum,7305530,Cereales Frosties,KELLOGG'S,5059319023199,10.88,kg,400 gr,exact_gtin,0.797083,0.800000,0.791667,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:36:57.360Z,baseline_candidates_v1
hiperdino,000000000000339094,Libby´s ketchup 545 ml,,8412755106029,,,545 ml,mercadona,17329,Salsa Catchup Libby's sin gluten,,8412755106029,4.753,kg,,exact_gtin,0.367647,0.333333,0.431373,true,false,sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:36:59.955Z,baseline_candidates_v1
alcampo,9bf7f7cc-5c6d-4275-9e6a-7a056304d4d4,BALLANTINES Whisky blended mezclado y embotellado en Escocia botella 70 cl.,BALLANTINES,8410045116383,17.99,l,70 cl,carrefour,521028329,Whisky Ballantine's escocés 70 cl.,,8410045116383,18.93,l,70 cl,exact_gtin,0.313675,0.222222,0.483516,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:04.121Z,baseline_candidates_v1
carrefour,VC4AECOMM-699370,Pechuga de pavo cocida en lonchas Campofrío Finíssimas sin gluten y sin lactosa 110 g,,8410320001809,19.55,kg,110 g,consum,4382800,Pechuga de Pavo Finíssimas,CAMPOFRÍO,8410320001809,17.73,kg,110 gr,exact_gtin,0.534362,0.545455,0.513761,true,true,sin_lactosa|sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:07.014Z,baseline_candidates_v1
carrefour,VC4AECOMM-598935,Árbol de té TecSania 10 ml.,,8436540047557,299,l,10 ml,hiperdino,000000000003872178,Tecsania árbol de te 10 ml,,8436540047557,,,10 ml,exact_gtin,0.968182,1.000000,0.909091,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:09.379Z,baseline_candidates_v1
consum,7290513,Agua de Coco 100% Botella,AMAZONIA,8436048721270,3.6,l,0.5 l,hiperdino,000000000002393018,Amazonia agua de coco 500 ml,,8436048721270,,,500 ml,exact_gtin,0.655285,0.666667,0.634146,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:11.200Z,baseline_candidates_v1
alcampo,98a6ec77-89d1-477b-bb31-de45925a7407,"CARR""S TABLE WATER Galletas saladas 125 g.",CARR'S TABLE WATER,5000168001104,15.04,kg,125 g,carrefour,fprod1450142,Galletas de agua Carr's 125 g.,,5000168001104,17.52,kg,125 g,exact_gtin,0.505645,0.500000,0.516129,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:13.197Z,baseline_candidates_v1
alcampo,0abd98cb-0e2c-4c4e-a485-2005d5289ab5,HARIMSA Harina de garbanzo 400 g.,HARIMSA,8420813194000,5.83,kg,400 g,consum,7321276,Harina de Garbanzo Paquete,HARIMSA,8420813194000,4.23,kg,400 gr,exact_gtin,0.855417,0.800000,0.958333,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:16.484Z,baseline_candidates_v1
carrefour,774909679,Ron Capitán Morgan spiced gold 70 cl.,,5000299223017,17.84,l,70 cl,consum,7447352,Ron Especiado,CAPT. MORGAN,5000299223017,17.84,l,0.7 l,exact_gtin,0.245289,0.285714,0.170213,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:26.095Z,baseline_candidates_v1
consum,7328557,Salted Butter Mantequilla con Sal  GI12,LURPAK,5740900401785,19.95,kg,200 gr,hiperdino,000000000003675717,Lurpak mantequilla con sal 200 g,,5740900401785,,,200 g,exact_gtin,0.541176,0.500000,0.617647,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:28.937Z,baseline_candidates_v1
alcampo,8c51b141-e940-4981-b6a2-605c31c5382e,MONSTER Energy Ultra white Bebida energética sin azúcar pack lata 4 uds x 500 ml.,MONSTER,5060337508186,2.98,l,4 uds,carrefour,prod690110,Monster Energy Ultra Bebida Energética sin azúcar pack 4 latas 500 ml.,,5060337508186,3.34,l,500 ml,exact_gtin,0.852455,0.857143,0.843750,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:33.749Z,baseline_candidates_v1
consum,7004018,Aperitivo de Anís,RICARD,3163937011000,18.29,l,0.7 l,mercadona,28407,Licor de anís Ricard Pastis de Marseille,,3163937011000,18.286,l,,exact_gtin,0.266042,0.285714,0.229508,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:40.193Z,baseline_candidates_v1
alcampo,db5b42b7-e617-4d63-a0a1-88cf50cd8fb3,"BUITONI Masa brisa redonda (32 cm), de fácil manipulación y que no se rompe 230 g.",BUITONI,3154230007869,9.48,kg,230 g,consum,7113223,Masa Brisa,BUITONI,3154230007869,8.7,kg,230 gr,exact_gtin,0.356250,0.400000,0.275000,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:46.102Z,baseline_candidates_v1
carrefour,521006832,Tallarines a la parmesana Gallina Blanca 143 g.,,8410300100492,18.81,kg,143 g,consum,369074,Tallarines Parmesana Sobre,G.BLANCA,8410300100492,17.41,kg,143 gr,exact_gtin,0.591429,0.571429,0.628571,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:49.365Z,baseline_candidates_v1
consum,7101371,Mortadela Bologna,FERRARINI,8008706604876,26.5,kg,100 gr,hiperdino,000000000003986134,Ferrarini mortadela de Bologna IGP en lonchas 100 g,,8008706604876,,,100 g,exact_gtin,0.541126,0.571429,0.484848,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:52.393Z,baseline_candidates_v1
carrefour,prod860175,Tinte permanente sin amoníaco 10-50 rubio muy claro ceniza Oleo Intense SYOSS 1 ud.,,8410436329026,6.65,ud,1 ud,hiperdino,000000000002314990,Syos tinte capilar oleo intense 10-50,,8410436329026,,,,exact_gtin,0.426102,0.400000,0.474576,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:37:57.664Z,baseline_candidates_v1
carrefour,521005685,Pasta Fusilli nº 98 Barilla 500 g.,,8076802085981,3.38,kg,500 g,consum,7442853,Fusilli,BARILLA,8076802085981,3.38,kg,500 gr,exact_gtin,0.476351,0.500000,0.432432,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:00.622Z,baseline_candidates_v1
consum,7199453,Vino Blanco D.O.Rioja,EL COTO,8410537600727,5.27,l,0.75 l,mercadona,66324,Vino blanco El Coto DO Rioja,,8410537600727,5.267,l,,exact_gtin,0.821294,0.857143,0.754717,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:03.722Z,baseline_candidates_v1
alcampo,f0f1faf3-1fb8-40f5-80c3-009399a2a12a,AQUARIUS Zero Bebida isotónica sin azúcar con sabor a naranja lata de 330ml,AQUARIUS,5449000171801,2.61,l,330 ml,carrefour,546003725,Aquarius sabor naranja zero azúcar lata 33 cl.,,5449000171801,3.24,l,33 cl,exact_gtin,0.754412,0.833333,0.607843,true,true,sin_azucar,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:06.527Z,baseline_candidates_v1
consum,7448751,Cayena Guindilla Tarro Cristal,CARMENCITA,8413700027260,144.4,kg,18 gr,hiperdino,000000000002050096,Carmencita guindillas 18 g,,8413700027260,,,18 g,exact_gtin,0.157143,0.000000,0.448980,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:08.244Z,baseline_candidates_v1
carrefour,VC4AECOMM-660889,Sales de baño Pure Energy IDC Institute 350 g.,,8436576501832,6.5,kg,350 g,consum,7392090,Sales de Baño Pure Energy,IDC INSTITUT,8436576501832,5.69,kg,350 gr,exact_gtin,0.787647,0.800000,0.764706,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:11.066Z,baseline_candidates_v1
carrefour,VC4AECOMM-727037,Helado de vainilla de Madagascar Carte D'or Les Classiques 900 ml.,,8711327544772,7.15,kg,900 ml,consum,7393213,Tarrina de Vainilla Carte d'Or + 30% Gratis,CORNETTO,8711327544772,6.41,kg,622 gr,exact_gtin,0.438431,0.400000,0.509804,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:13.527Z,baseline_candidates_v1
alcampo,b002698f-f60b-4d2c-aa43-91770fd96d18,SOLIMON Aderezo de limón exprimido 100% 280 ml.,SOLIMON,8428020267746,4.29,l,280 ml,carrefour,843600658,Aderezo de limón exprimido Solimón 280 ml.,,8428020267746,4.89,l,280 ml,exact_gtin,0.881725,0.888889,0.868421,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:15.358Z,baseline_candidates_v1
carrefour,855700480,Arroz redondo ecológico Sos 1 kg.,,8410184030311,3.85,kg,1 kg,hiperdino,000000000001829358,SOS arroz eco 1 kg,,8410184030311,,,1 kg,exact_gtin,0.546429,0.571429,0.500000,true,false,bio,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:16.776Z,baseline_candidates_v1
carrefour,VC4AECOMM-331067,Cerveza Estrella Galicia sin gluten pack 6 botellas 25 cl.,,8412598007316,3.17,l,25 cl,consum,7450427,Cerveza sin Gluten Pack de 6 botellas,E.GALICIA,8412598007316,2.47,l,1.5 l,exact_gtin,0.769022,0.750000,0.804348,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:18.509Z,baseline_candidates_v1
carrefour,VC4AECOMM-723953,Gel fijador control total Giorgi 170 ml.,,8411135006263,16.2,l,170 ml,consum,7396026,Gel Fijador Control Total,GIORGI,8411135006263,19.1,l,170 ml,exact_gtin,0.876138,0.888889,0.852459,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:20.175Z,baseline_candidates_v1
carrefour,VC4AECOMM-723943,Gel fijador efecto mojado Giorgi 170 ml.,,8411135006256,16.2,l,170 ml,consum,7396005,Gel Fijador Efecto Mojado,GIORGI,8411135006256,19.1,l,170 ml,exact_gtin,0.876138,0.888889,0.852459,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:21.904Z,baseline_candidates_v1
consum,7410491,Galactic Brownies 8 Unidades,MR.BROWNIE,8411037892490,12.25,kg,200 gr,hiperdino,000000000003200575,Jr. Brownie galactic 200 g,,8411037892490,,,200 g,exact_gtin,0.452157,0.400000,0.549020,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:23.413Z,baseline_candidates_v1
carrefour,590601612,Compresas para incontinencia de orina mini Discreet Ausonia 24 ud.,,8700216280556,0.23,ud,24 ud,consum,7436447,Compresa Incontinencia Discreet Mini,AUSONIA,8700216280556,0.14,ud,24 u,exact_gtin,0.644545,0.600000,0.727273,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:24.897Z,baseline_candidates_v1
consum,7471881,Bombón Rocher Classic 3 Unidades,FERRERO,8000500461051,19.11,kg,235 gr,hiperdino,000000000003962336,Ferrero Rocher helado bombon 3 x 190 g,,8000500461051,,,570 g,exact_gtin,0.458824,0.500000,0.382353,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:26.352Z,baseline_candidates_v1
consum,7301237,Chocolate Negro 85% sin Azúcar,VALOR,8410109109832,35,kg,100 gr,hiperdino,000000000002560540,Valor tableta de chocolate negro 85 % sin azúcares añadidos 100 g,,8410109109832,,,100 g,exact_gtin,0.506667,0.444444,0.622222,true,false,sin_azucar,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:27.816Z,baseline_candidates_v1
consum,7390540,Comida Húmeda Gatos Fit&Delicius Carne,ULTIMA,8410650270982,8.79,kg,340 gr,hiperdino,000000000002731308,Ultima fit & delicious gato húmeda sabor carne  4 x 85 g,,8410650270982,,,340 g,exact_gtin,0.494444,0.461538,0.555556,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:29.453Z,baseline_candidates_v1
carrefour,prod520050,Gel de masaje corporal con aroma a especias florales Thai Passion 2 en 1 Control 200 ml.,,8411134135810,56.4,l,200 ml,hiperdino,000000000002556819,Control gel masaje thai passion 200 ml,,8411134135810,,,200 ml,exact_gtin,0.659068,0.714286,0.556522,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:33.099Z,baseline_candidates_v1
carrefour,521031823,Sandwich de nata Nestlé 6 ud.,,7613033685545,0.71,ud,6 ud,consum,953468,Sándwich de Nata Pack de 6 Unidades,NESTLE,7613033685545,9.06,kg,330 gr,exact_gtin,0.625269,0.666667,0.548387,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:34.948Z,baseline_candidates_v1
carrefour,839900520,Regaliz de goma Torcidas Fini 170 g.,,8410525230486,7.47,kg,170 g,consum,7265176,Torcidas Regaliz Fresa,FINI,8410525230486,9,kg,150 gr,exact_gtin,0.562338,0.571429,0.545455,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:37.034Z,baseline_candidates_v1
carrefour,prod780139,"Cerveza Amstel 0,0 radler con zumo natural de limón lata 33 cl.",,8410569510001,2.58,l,33 cl,consum,7306439,"Cerveza Radler 0,0 Lata",AMSTEL,8410569510001,1.97,l,0.33 l,exact_gtin,0.488014,0.500000,0.465753,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:38:39.797Z,baseline_candidates_v1
consum,7443500,Espuma de Afeitar,LEA,8410737000181,7.8,l,250 ml,hiperdino,000000000006550158,Lea espuma afeitar 200 + 50 ml,,8410737000181,,,50 ml,exact_gtin,0.644961,0.666667,0.604651,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:16.182Z,baseline_candidates_v1
ametller,10603,Café en grano qualitá oro Lavazza 500g,LAVAZZA,8000070019362,33.1,kg,500 g,carrefour,VC4AECOMM-598273,Café en grano natural arábica Qualitá Oro Lavazza 500 g.,,8000070019362,35.78,kg,500 g,exact_gtin,0.818411,0.833333,0.790698,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:19.092Z,baseline_candidates_v1
carrefour,VC4AECOMM-338432,Pinza grande Ponette Natural 1 ud.,,8436580615648,2.49,ud,1 ud,consum,7381721,Pinza Grande Ecológica,PONETTE,8436580615648,2.15,ud,1 u,exact_gtin,0.539947,0.571429,0.481481,true,true,bio,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:20.924Z,baseline_candidates_v1
alcampo,69e81422-8b36-4fce-827a-41a64c6dbdd4,"POMPADOUR Poleo menta 25 uds. 37,5 g.",POMPADOUR,8412900402044,83.6,kg,25 uds,carrefour,522713644,Poleo menta en bolsitas Pompadour 25 ud.,,8412900402044,61.89,kg,25 ud,exact_gtin,0.810591,0.857143,0.724138,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:22.287Z,baseline_candidates_v1
carrefour,VC4AECOMM-287553,Chocolatina rellena de crema de leche Lacasitos sin gluten pack de 5 unidades de 21 g.,,8410740916882,35.14,kg,21 g,hiperdino,000000000002730851,Lacasitos chocolatina rellena de leche 5 x 21 g,,8410740916882,,,105 g,exact_gtin,0.733838,0.727273,0.746032,true,false,sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:23.619Z,baseline_candidates_v1
consum,7396661,Tampón Compak Super plus,TAMPAX,8006540468173,0.22,ud,26 u,hiperdino,000000000003949023,Tampax compak tampones superplus 26 ud,,8006540468173,,,26 ud,exact_gtin,0.395833,0.250000,0.666667,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:25.539Z,baseline_candidates_v1
carrefour,VC4AECOMM-712492,Tarrito de cocido desde 6 meses Hero Solo sin gluten 235 g.,,8410175093943,7.87,kg,235 g,consum,7480747,Tarrito Cocido,HERO,8410175093943,7.87,kg,235 gr,exact_gtin,0.428889,0.444444,0.400000,true,true,sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:27.175Z,baseline_candidates_v1
hiperdino,000000000000219457,"Fonteide agua sin gas 1,5 l",,8428697101152,,,1.5 l,mercadona,27281,Agua mineral grande Fonteide,,8428697101152,0.427,l,,exact_gtin,0.529919,0.571429,0.452830,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:28.712Z,baseline_candidates_v1
consum,7479343,Limpiador Multiusos Vinagre Limón Pistola,ASEVI,8411582242320,1.8,l,750 ml,hiperdino,000000000003899229,Asevi vinagre de limpiahogar con detergente 750 ml,,8411582242320,,,750 ml,exact_gtin,0.271717,0.222222,0.363636,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:30.325Z,baseline_candidates_v1
carrefour,prod75706,Nata montada azucarada Central Lechera Asturiana sin lactosa spray 250 ml.,,8410297121234,11.96,kg,250 ml,consum,7372423,Nata Spray sin Lactosa Bote,ASTURIANA,8410297121234,10.36,kg,275 gr,exact_gtin,0.529545,0.545455,0.500000,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:31.924Z,baseline_candidates_v1
carrefour,prod970932,Crema de chocolate y caramelo Extrafino Nestlé pack de 2 unidades de 70 g.,,8435257051666,12.86,kg,70 g,hiperdino,000000000002360539,Nestlé extrafino chocolate con dulce leche 2 x 70 g,,8435257051666,,,140 g,exact_gtin,0.514715,0.545455,0.457627,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:33.398Z,baseline_candidates_v1
consum,7202278,Fiambre Sándwich York Maxi,ELPOZO,8410843036333,6.67,kg,300 gr,hiperdino,000000000004415343,ElPozo fiambre sandwich lonchas 300 g,,8410843036333,,,300 g,exact_gtin,0.508607,0.500000,0.524590,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:34.960Z,baseline_candidates_v1
carrefour,605701619,Café espresso intenso en cápsulas Nescafé Dolce Gusto 30 ud.,,7613036867405,0.29,ud,30 ud,consum,7397263,Café Espresso Intenso 30 Cápsulas,DOLCE GUSTO,7613036867405,0.29,ud,30 u,exact_gtin,0.729394,0.727273,0.733333,true,true,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:36.400Z,baseline_candidates_v1
carrefour,736814186,Mayonesa Heinz envase 400 ml.,,8715700422084,8.73,kg,400 ml,consum,7310621,Mayonesa Deliciosa Pet,HEINZ,8715700422084,6.38,l,400 ml,exact_gtin,0.417500,0.400000,0.450000,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:38.152Z,baseline_candidates_v1
carrefour,VC4AECOMM-566384,Bebida de chocolate mocha con café Protein Starbucks 330 ml.,,5711953194085,9.67,l,330 ml,hiperdino,000000000003887615,Starbucks protein bebida de chocolate mocha 330 ml,,5711953194085,,,330 ml,exact_gtin,0.880808,0.909091,0.828283,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:39.623Z,baseline_candidates_v1
alcampo,4da593ec-4537-44b5-8ad0-df4ae2e59c1b,"NESCAFÉ Café en cápsulas Ristretto Áfricas I10, Farmers Origins 10 uds.",NESCAFÉ,8445291150188,65.09,kg,10 uds,carrefour,VC4AECOMM-678695,Café Áfricas en cápsulas Nescafé Farmers Origins compatible con Nespresso 10 ud.,,8445291150188,0.41,ud,10 ud,exact_gtin,0.714119,0.750000,0.647482,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:45.705Z,baseline_candidates_v1
consum,7374163,Polvos Texturizantes,GOT2B,7332531019330,4.99,ud,1 u,hiperdino,000000000003308646,Got2b polvos volúmen powder ful 10 g,,7332531019330,,,10 g,exact_gtin,0.262078,0.285714,0.218182,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:48.624Z,baseline_candidates_v1
carrefour,521030367,Café latte con crema macchiato Kaiku sin gluten 230 ml.,,8410981093441,8.17,l,230 ml,hiperdino,000000000002267005,Kaiku caffe latte macchiato 230 ml,,8410981093441,,,230 ml,exact_gtin,0.596410,0.600000,0.589744,true,false,sin_gluten,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:40:50.380Z,baseline_candidates_v1
consum,7409647,Desodorante Spray Lactourea,LACTOVIT,8411135352629,15.8,l,200 ml,hiperdino,000000000002100814,Lactovit desodorante spray 200 ml,,8411135352629,,,200 ml,exact_gtin,0.691228,0.666667,0.736842,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:41:04.791Z,baseline_candidates_v1
consum,7476927,Refresco Naranja Lata,FANTA,5449000050809,2.5,l,0.5 l,hiperdino,000000000003965801,Fanta refresco sabor naranja 50 cl,,5449000050809,,,50 cl,exact_gtin,0.666667,0.666667,0.666667,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:41:16.949Z,baseline_candidates_v1
carrefour,530363346,Vino tinto crianza tempranillo Durón D.O. Ribera del Duero 75 cl.,,8412012001104,10.27,ud,75 cl,hiperdino,000000000004733751,Durón Crianza vino tinto Ribera del Duero 75cl,,8412012001104,,,75 cl,exact_gtin,0.874510,0.923077,0.784314,true,false,,identico,GTIN global coincidente,identico,Es el mismo producto,Ruben,2026-08-09T10:41:20.528Z,baseline_candidates_v1
